"first_col","second_col","third_col","fourth_col","fifth_col"
37,466,548,"Salamander","s"
86,100,650,"Guinea Pig","p"
12,107,656,"Frog or Toad","t"
83,41,63,"Gecko","r"
7,11,229,"Gecko","r"
77,322,656,"Rabbit","a"
4,231,624,"Hamster","u"
50,69,422,"Sheep","f"
64,474,993,"Guinea Pig","e"
37,443,80,"Pig","p"
70,341,256,"Horse","m"
36,339,758,"Ferret","m"
50,170,144,"Ferret","b"
7,82,382,"Cat","y"
84,194,110,"Stick-Bugs","x"
17,434,330,"Ferret","w"
17,480,701,"Pig","u"
15,416,48,"Hedgehog","s"
2,264,293,"Horse","u"
46,138,634,"Goat","b"
25,279,282,"Snake","m"
48,56,641,"Hamster","f"
32,34,763,"Ant Farm","z"
24,356,321,"Hermit Crab","g"
15,358,853,"Bird","y"
97,274,392,"Turtle or Tortoise","l"
97,182,713,"Ferret","t"
9,426,568,"Hedgehog","f"
50,270,356,"Goat","v"
10,218,633,"Mantis","t"
99,221,877,"Bird","o"
29,441,624,"Horse","t"
97,177,656,"Ferret","c"
36,232,790,"Bird","t"
90,349,117,"Fish","w"
15,336,73,"Spider","x"
77,497,108,"Goat","k"
80,96,597,"Hedgehog","o"
17,218,28,"Fish","q"
78,37,301,"Bird","p"
49,356,743,"Dog","p"
84,488,342,"Turtle or Tortoise","k"
2,84,93,"Hermit Crab","u"
68,430,963,"Horse","o"
12,108,746,"Sheep","r"
19,378,742,"Cat","o"
26,362,693,"Dog","t"
56,246,612,"Alpaca","p"
89,238,517,"Ferret","b"
87,141,778,"Bird","k"
52,132,735,"Frog or Toad","s"
58,317,63,"Frog or Toad","b"
39,230,593,"Pig","k"
89,437,646,"Salamander","a"
62,419,728,"Salamander","r"
28,346,539,"Rabbit","x"
7,11,253,"Ant Farm","u"
25,417,970,"Gecko","o"
78,68,881,"Hedgehog","z"
43,29,942,"Hamster","t"
38,70,608,"Pig","i"
99,369,904,"Cat","j"
34,467,238,"Hamster","g"
11,484,249,"Pig","c"
13,412,268,"Mouse","c"
26,409,10,"Salamander","u"
6,139,95,"Dog","r"
67,411,155,"Newt","v"
83,500,702,"Fish","n"
39,310,261,"Bird","u"
24,90,929,"Spider","e"
26,138,614,"Goat","u"
32,225,405,"Mouse","a"
14,75,849,"Rat","i"
2,477,462,"Gecko","c"
12,92,672,"Gecko","m"
41,368,344,"Goat","t"
57,155,856,"Mantis","j"
53,346,288,"Hamster","m"
31,499,350,"Bird","w"
70,244,447,"Rabbit","k"
5,143,327,"Hedgehog","b"
78,361,845,"Frog or Toad","l"
48,29,888,"Mantis","e"
49,292,593,"Pig","n"
34,217,452,"Stick-Bugs","c"
32,139,541,"Stick-Bugs","n"
62,452,28,"Spider","w"
41,149,216,"Newt","b"
48,417,557,"Hedgehog","u"
48,246,591,"Rat","r"
20,35,299,"Pig","r"
21,120,243,"Stick-Bugs","d"
40,383,664,"Salamander","t"
6,126,308,"Newt","n"
34,137,616,"Cat","e"
86,228,913,"Mantis","q"
9,213,302,"Hermit Crab","f"
12,344,494,"Pig","p"
47,383,343,"Pig","i"
